builder_name_key,ticker,cik,sec_company_name,sec_reporting_indicator,public_parent_no_comparable_us_10k,manual_review_indicator,valid_from_year,valid_to_year,notes
capital pacific holdings,CPH,813945,CAPITAL PACIFIC HOLDINGS INC,TRUE,FALSE,TRUE,2004,2006,SEC submissions CIK 0000813945 for CAPITAL PACIFIC HOLDINGS INC; matched but flagged because available 10-K coverage appears to end before Builder public years.
st joe co,JOE,745308,ST JOE CO,TRUE,TRUE,TRUE,2004,2004,Public company but not a directly comparable production-builder 10-K.
lennar corp,LEN,920760,LENNAR CORP,TRUE,FALSE,FALSE,2005,,Current public builder seed.
meritage homes corp,MTH,833079,MERITAGE HOMES CORP,TRUE,FALSE,FALSE,2005,2023,Historical Builder name maps to Meritage Homes.
st joe towns and resorts,JOE,745308,ST JOE CO,TRUE,TRUE,TRUE,2005,2005,Public parent is not directly comparable.
comstock holding co,CHCI,1299969,COMSTOCK HOLDING COMPANIES INC,TRUE,FALSE,FALSE,2006,2016,Small public builder/developer; include but review comparability.
taylor morrison,TMHC,1562476,TAYLOR MORRISON HOME CORP,TRUE,FALSE,FALSE,2008,,Current public builder seed.
wl homes,,,WL Homes,FALSE,FALSE,TRUE,2008,2008,Historical public status needs manual review.
engle homes division of tousa homes,TOA,1046578,TOUSA INC,TRUE,FALSE,TRUE,2008,2008,Division label maps to SEC submissions CIK 0001046578 for TOUSA INC; keep manual review at division-label level.
suncor development co,,,SunCor Development Co,FALSE,FALSE,TRUE,2008,2009,Historical public status needs manual review.
pultegroup,PHM,822416,PULTEGROUP INC,TRUE,FALSE,FALSE,2011,,Current public builder seed.
brookfield residential properties,BRP,1502554,Brookfield Residential Properties Inc,TRUE,TRUE,TRUE,2012,2026,SEC submissions CIK 0001502554 found for Brookfield Residential Properties Inc.; no comparable U.S. 10-K series and keep excluded/manual review.
av homes formerly avatar holdings,AVHI,39677,AV HOMES INC,TRUE,FALSE,FALSE,2012,2012,Historical Builder name maps to AV Homes.
lgi homes,LGIH,1580670,LGI HOMES INC,TRUE,FALSE,FALSE,2014,,Current public builder seed.
tri pointe homes,TPH,1561680,TRI POINTE HOMES INC,TRUE,FALSE,FALSE,2014,,Current public builder seed.
av homes,AVHI,39677,AV HOMES INC,TRUE,FALSE,FALSE,2014,2018,Historical public builder.
century communities,CCS,1576940,CENTURY COMMUNITIES INC,TRUE,FALSE,FALSE,2015,,Current public builder seed.
risewell homes,NWHM,1574596,New Home Co Inc,TRUE,FALSE,FALSE,2015,2021,SEC submissions CIK 0001574596 for New Home Co Inc.; later private and Builder lineage labeled Risewell.
ucp,UCP,1572684,UCP INC,TRUE,FALSE,FALSE,2015,2017,Historical public builder.
calatlantic group,CAA,878560,CALATLANTIC GROUP INC,TRUE,FALSE,FALSE,2016,2018,Historical public builder; successor to Standard Pacific/Ryland.
green brick partners,GRBK,1373670,GREEN BRICK PARTNERS INC,TRUE,FALSE,FALSE,2016,,Current public builder seed.
meritage homes,MTH,833079,MERITAGE HOMES CORP,TRUE,FALSE,FALSE,2019,,Current public builder seed.
dream finders homes,DFH,1825088,DREAM FINDERS HOMES INC,TRUE,FALSE,FALSE,2021,,Current public builder seed.
landsea homes,LSEA,1721386,LANDSEA HOMES CORP,TRUE,FALSE,FALSE,2021,2025,Public builder seed; delisted/acquired status to monitor.
amh,AMH,1562401,AMERICAN HOMES 4 RENT,TRUE,FALSE,TRUE,2021,,Build-to-rent/REIT-adjacent; keep but flag non-comparable.
sekisui house u s,,,Sekisui House U.S.,FALSE,TRUE,TRUE,2024,,Foreign public parent; no comparable U.S. SEC 10-K expected.
smith douglas homes,SDHC,,SMITH DOUGLAS HOMES CORP,TRUE,FALSE,FALSE,2024,,Current public ticker; CIK filled from SEC ticker map when available.
united homes group,UHG,,UNITED HOMES GROUP INC,TRUE,FALSE,FALSE,2024,,Current public ticker; CIK filled from SEC ticker map when available.
